PROCEDIMIENTO,ARS,CODIGO,SIMON,MONTO
CISTOSCOPIA TRANSURETRAL,HUMANO,810,,14400
CISTOSCOPIA TRANSURETRAL,MAPFRE,573201,,14400
CISTOSCOPIA TRANSURETRAL,SENASA,573201,195,14400
CISTOSCOPIA TRANSURETRAL,SEMMA,573201,195,12000
CISTOSCOPIA TRANSURETRAL,FUTURO,195,,17280
CISTOSCOPIA TRANSURETRAL,UNIVERSAL,573291,,14400
CISTOSCOPIA TRANSURETRAL,MONUMENTAL,540,195,14400
CISTOSCOPIA TRANSURETRAL,RESERVAS,540,573201,14400
CISTOSCOPIA TRANSURETRAL,RENACER,573201,195,10000
CISTOSCOPIA TRANSURETRAL,APS,195,573201,12000
CIRCUNCISION,HUMANO,867,,20880
CIRCUNCISION,MAPFRE,640000,,21600
CIRCUNCISION,SENASA,64000,235,21600
CIRCUNCISION,SEMMA,640000,235,18000
CIRCUNCISION,FUTURO,,235,21600
CIRCUNCISION,UNIVERSAL,640000,,10500
CIRCUNCISION,MONUMENTAL,640000,,18720
CIRCUNCISION,RESERVAS,607,235,21600
CIRCUNCISION,RENACER,640000,235,15000
CIRCUNCISION,APS,640000,235,15000
RTU-P,HUMANO,6857,,72000
RTU-P,MAPFRE,602901,,72000
RTU-P,SENASA,602901,,72000
RTU-P,SEMMA,602901,11554,60000
RTU-P,FUTURO,602901,11554,72000
RTU-P,UNIVERSAL,602901,,72000
RTU-P,MONUMENTAL,,,55000
RTU-P,RESERVAS,9275,11554,72000
RTU-P,RENACER,602901,11554,50000
RTU-P,APS,,11554,50000
NEFROLITOTOMIA PERCUTANEA,HUMANO,6563,,50000
NEFROLITOTOMIA PERCUTANEA,MAPFRE,9067558,,96000
NEFROLITOTOMIA PERCUTANEA,SENASA,,,
NEFROLITOTOMIA PERCUTANEA,SEMMA,,15172,90000
NEFROLITOTOMIA PERCUTANEA,FUTURO,,,
NEFROLITOTOMIA PERCUTANEA,UNIVERSAL,,,
NEFROLITOTOMIA PERCUTANEA,MONUMENTAL,,,
NEFROLITOTOMIA PERCUTANEA,RENACER,0,8736,40000
NEFROLITOTOMIA PERCUTANEA,RESERVAS,13421,,90000
